index,charName,charIndex,imgName,dialog,animation,location,sound,bgmusic,bg,extra1
28,나레이션,0,,달빛색의 머릿결과 무엇보다…,,,,stage1bgm,fox_illustration_1,
29,신입 요괴 사냥꾼,1,jin_surprise,(여우 귀와 꼬리…!),,right,,stage1bgm,forest1,
30,신입 요괴 사냥꾼,1,jin_surprise,(설마…!),,right,,stage1bgm,forest1,
31,구미호,3,fox_normal,,,,금속이 덜그럭 거리는 사운드,stage1bgm,forest1,
32,나레이션,0,,여전히 검을 거두지 않은 구미호가 이번엔 나를 향해 검을 겨눈다,,,,stage1bgm,forest1,
33,구미호,3,fox_normal,사냥꾼이군.,,center,,stage1bgm,forest1,
34,구미호,3,fox_normal,네놈들은 지겹도록 봐왔지…,,center,,stage1bgm,forest1,
35,구미호,3,fox_normal,누가 적인지도 아군인지도 모르는 머저리들.,,center,,stage1bgm,forest1,
36,신입 요괴 사냥꾼,1,jin_surprise,아` 아뇨! 아뇨! 모를리가요!,,right,,stage1bgm,forest1,
37,신입 요괴 사냥꾼,1,jin_normal,당신은… 구미호잖아요…,,right,,stage1bgm,forest1,
38,신입 요괴 사냥꾼,1,jin_normal,알아요. 당신은 수호령인거죠?,,right,,stage1bgm,forest1,
39,구미호,3,,,fox_normal-fox_surprise,,,stage1bgm,forest1,
40,구미호,3,fox_normal,그래서 네 놈 동료들의 수는 얼마나 되지? 어디에 있고?,,center,,stage1bgm,forest1,
41,신입 요괴 사냥꾼,1,jin_surprise,예?,,right,,stage1bgm,forest1,
42,구미호,3,fox_normal,퍽!,center-right,,때리는 사운드,stage1bgm,forest1,
43,신입 요괴 사냥꾼,1,jin_surprise,크헉!,tremble,right,,stage1bgm,forest1,
44,구미호,3,fox_normal,다음엔 검자루가 아니라 날이 배에 들어갈 거다.,right-center,center,,stage1bgm,forest1,
45,구미호,3,fox_normal,대답해.,,center,,stage1bgm,forest1,
46,신입 요괴 사냥꾼,1,jin_scared,저` 그게…,,right,,stage1bgm,forest1,
47,구미호,3,fox_angry,스릉,,center,검이 뽑히는 사운드,stage1bgm,forest1,이때 캐릭터 스탠딩 일러스트에 검을 뽑은 버전
48,신입 요괴 사냥꾼,1,jin_surprise,마` 말할게요! 말한다고요!,,right,,stage1bgm,forest1,
49,신입 요괴 사냥꾼,1,jin_surprise,수는 열이고! 어딨는 지는 몰라요!,,right,,stage1bgm,forest1,
50,구미호,3,fox_angry,스릉,,center,검이 뽑히는 사운드,stage1bgm,forest1,
51,신입 요괴 사냥꾼,1,jin_scared,저` 정말이에요!,,right,,stage1bgm,forest1,
52,신입 요괴 사냥꾼,1,jin_scared,조사 때문에 파견 왔다가 요괴들에게 기습당했다고요,,right,,stage1bgm,forest1,
53,신입 요괴 사냥꾼,1,jin_scared,믿어주세요! 제발!,,right,,stage1bgm,forest1,
54,구미호,3,fox_normal,,,center,,stage1bgm,forest1,다시 캐릭터의 스탠딩에 검이 없는 버전으로 변경
55,신입 요괴 사냥꾼,1,jin_normal,휴우...,,right,,stage1bgm,forest1,
56,구미호,3,fox_normal,,center-right,right,때리는 사운드,stage1bgm,forest1,
57,신입 요괴 사냥꾼,1,jin_surprise,커`커헉! 도대체 왜?,tremble,right,,stage1bgm,forest1,
58,구미호,3,fox_normal,검집에 맞은 것 가지고 엄살 부리지 마.,right_center,center,,stage1bgm,forest1,
59,나레이션,0,,내 입에서 갑자기 뭔가가 솟구쳐 올라온다,,,,stage1bgm,forest1,
60,신입 요괴 사냥꾼,1,jin_surprise,우웨엑-!,tremble,right,,stage1bgm,forest1,
61,나레이션,0,,내 입에서 나온 건 토가 아니었다,,,,stage1bgm,forest1,
62,나레이션,0,,뭔가 푸른빛이 내 입을 타고 흘러나왔다,,,,stage1bgm,forest1,
63,나레이션,0,,그 빛이 곧 그녀가 들고 있던 일곱 개의 금으로 깨져 있는 구슬 속으로 흘러 들어간다,,,,stage1bgm,forest1,
64,구미호,3,fox_normal,이건 혼령 구슬이야,,center,,stage1bgm,forest1,
65,구미호,3,fox_normal,이 안의 파란빛은 네 혼령이고.,,center,,stage1bgm,forest1,
66,신입 요괴 사냥꾼,1,jin_surprise,에… 예?,,right,,stage1bgm,forest1,
67,구미호,3,fox_normal,네 목숨이라고.,,center,,stage1bgm,forest1,
68,신입 요괴 사냥꾼,1,jin_surprise,뭐` 무슨…! 돌려주십시오!,,right,,stage1bgm,forest1,
69,구미호,3,fox_normal,네 말이 진실로 밝혀질 때까진.,,center,,stage1bgm,forest1,
70,구미호,3,fox_normal,네 목숨은 내 손에 있는 거야.,,center,,stage1bgm,forest1,
71,구미호,3,fox_normal,만약 네 동료라는 놈들이 날 공격하면?,,center,,stage1bgm,forest1,
72,구미호,3,fox_normal,넌 죽는 거야.,,center,,stage1bgm,forest1,
73,구미호,3,fox_normal,물론 이대로 도망쳐도. 죽어.,,center,,stage1bgm,forest1,
74,신입 요괴 사냥꾼,1,jin_scared,그` 그게 무슨…!,,right,,stage1bgm,forest1,
75,신입 요괴 사냥꾼,1,jin_scared,대체 뭣 때문에 이러는 겁니까.,,center,,stage1bgm,forest1,
76,구미호,3,fox_normal,굳이 알 거 없어.,,center,,stage1bgm,forest1,
77,구미호,3,fox_normal,네가 알건 둘 뿐이야.,,center,,stage1bgm,forest1,
78,구미호,3,fox_normal,하나는 네 목숨은 이제 내 손에 있다는 거고.,,center,,stage1bgm,forest1,
79,구미호,3,fox_normal,다른 하나는 너희 동료가 내 일을 방해하면 재미없을 거란 거지.,,center,,stage1bgm,forest1,
80,구미호,3,fox_normal,날 따라와.,,center,,stage1bgm,forest1,
81,구미호,3,fox_normal,아니면 죽든가.,,center,,stage1bgm,forest1,
82,신입 요괴 사냥꾼,1,jin_scared,히익!,,right,,stage1bgm,forest1,
83,나레이션,0,,그렇게 난 예정에도 없던 구미호와의 모험을 시작했다,,,,stage1bgm,forest1,
84,나레이션,0,,이때 나는 어떤 일에 휘말린 건지 전혀 예상하지 못했다,,,,stage1bgm,forest1,
